,Sumerian - Input,English - Exact,English - Predicted
47,cunigin NUMB mana NUMB ce kubabbar,"Together : NUMB mana , NUMB shekel , NUMB grains of silver",total : NUMB minas NUMB shekel NUMB grains of silver ;
48,laia NUMB mana NUMB gin NUMB ce kubabbar,"debit : NUMB mana , NUMB shekel , NUMB grains of silver ;","Deficit : NUMB mana , NUMB shekels , NUMB grains of silver ."
49,nigkak ceckala damgar,"account of Šeškala , the trade agent ;","account of Šeškalla , the trade agent ;"
50,mu enunugal inanna bahun,year : “ En-unugal-Inanna was installed . ”,year : “ Enunugal was hired as ( the high-priest of ) Inanna . ”
51,ninkununa,To Ninkununa,which he release!
52,NUMB icah,"NUMB of lard ,","NUMB ( mana wool for ) lard ,"
53,u amarduta baradua,"when from … they were released ,","and credits , ( to ) Ku’e ,"
54,geme babde,the female workers brought ( ? ) ;,"she may female slave ,"
55,ki luginata,from Lugina ( ’s account ),from Lugina ;
56,luenki,for Lu-Enki ;,Issarik ;
57,NUMB gin i NUMB gin naga,"NUMB shekels oils , NUMB shekels alkali-plant ,","NUMB shekels oil , NUMB shekels potash ,"
58,laqip,for Laqīp ;,"let him ,"
59,urdari,for Ur-dari ;,"let him ,"
60,aliah,for Ali’aḫ ;,"let him ,"
61,duili,for Du-ilī ;,for Ilī-bani ;
62,cunigin NUMB sila kac NUMB sila ninda,total : NUMB sila3 beer ; NUMB sila3 bread ;,"total : NUMB sila3 beer , NUMB sila3 bread ,"
63,NUMB sila NUMB gin cum,NUMB sila3 NUMB shekels onions ;,"NUMB sila3 NUMB shekels of onions ,"
64,NUMB sila NUMB gin i,NUMB sila3 NUMB shekel oil ;,"NUMB sila3 NUMB shekels oil ,"
65,NUMB gin naga,NUMB shekels alkali plant ;,"NUMB shekels alkali-plant ,"
66,NUMB udu abul bara utu,"NUMB sheep , city gate , dais of Utu ;","NUMB sheep , oill , wool for the street ,"
67,NUMB udu abul baba,"NUMB sheep , city gate of Baba ;","NUMB sheep , NUMB gazelle"
68,NUMB udu abul egal,"NUMB sheep , city gate , palace ;","NUMB sheep for the palace ,"
69,NUMB udu abul nance,"NUMB sheep , city gate of Nanše ;","NUMB sheep , oill ,"
70,NUMB udu eunuce,"NUMB sheep , House-of-Uruk ;","NUMB rams ,"
71,NUMB udu ga magura ningeczida,"NUMB sheep , cabin of the barge of Ningešzida ;","NUMB sheep , suckling , ( for ) stink-plant ,"
72,NUMB udu gudea,"NUMB sheep , Gudea ;","NUMB rams ,"
73,NUMB udu urlamma ensi,"NUMB sheep , Ur-Lamma , the governor ;","NUMB sheep , Ur-Lamma , governor of"
74,siskur ga guce,offering for milk-feeding ;,"for Išar-ilī , from the frontier ;"
75,giri akala luinima,"via Akalla , man of testimony ;","via Akalla , the shepherd ;"
76,ziga ki lugalnamah,booked out of the place of Lugal-nammaḫ ;,booked out from Kalam-ḫenagi ( ’s account ) ;
77,iti ezemdumuzi u NUMB,"month : “ Festival of Dumuzi , ” day NUMB ,","from month “ Festival of Dumuzi , ” ordNUMB day ,"
78,mu magurmah badim,year : “ Great-barge was fashioned . ”,year : “ Great-barge was fashioned ; ”
79,X X X hia,Assorted …,… Ḫabru
80,namrac,into booty,that which into booty
81,hadak,I made .,"let him ,"
82,NEC lugal,… the king,"mighty king ,"
83,X,"of … ,",… ; .
84,caga,into captivity,for Šaga ;
85,henidab,"I took ,","let him ,"
86,cumu barabatae,and I did not let him escape my hand .,"debits , Utu ,"
87,lu hul,A person who the order of a wicked thing,"a man has died ,"
88,NUMB kikken adabar saga,NUMB millstone of high-quality black basalt ( ? ),"NUMB good command of consignment pea-flour ,"
89,lugalitida,( for ) Lugal-itida,Lugal-itida ;
90,NUMB kikken adabar,NUMB millstone of black basalt,"NUMB ( mana wool for ) Nin-kuzu , the shepherd ,"
91,akala acgab,"( for ) Akalla , the leatherworker ;","Sick , the leatherworker ,"
92,NUMB kikken ucmu X,"NUMB millstone ( of black basalt for ) Ušmu ,","NUMB … for dusu-service … ,"
93,NUMB kikken akadani,"NUMB millstone ( of black basalt for ) Akadani ,","NUMB ( mana wool for ) Nin-kuzu , the shepherd ,"
94,NUMB kikken carazame,"NUMB millstone ( of black basalt for ) Šara-zame ,","NUMB Ur-Tummal , Šara-zame ,"
95,ki aduta,"from Adu ,",From Adu ? ;
96,kicib urnumucda,the sealed tablet of Ur-Numushda .,under seal of Ur-Numušda ;
97,mu usa cusuen lugale bad martu mudu,Year after : “ The king Šu-Suen erected the Amorite wall . ”,"year after : “ Šu-Suen , the king , the Amorite wall erected . ”"
98,NUMB amar macdamunus,NUMB young female gazelle,"NUMB calf , female gazelle ,"
99,dada ensi,"( from ) Dada , governor ;","( for ) the governor of the governor ,"
100,NUMB sila umu,NUMB lamb ( from ) U’umu ;,"NUMB lamb : Ribḫuti ,"
101,NUMB sila ceckala,NUMB lamb ( from ) Šeshkalla ;,"NUMB lamb , Šeškalla ;"
102,idab,"has accepted ,",took ;
103,mu cusuen lugal,year : “ Šu-Suen became king . ”,year : “ Šu-Suen is king ; ”
104,NUMB udu u,"NUMB grass ( -fed ) sheep ? ,","NUMB grass ( -fed ) small cattle ,"
105,ki culgilita,from Šulgi-ili,from Šulgi-ilī ;
106,urkununa,did Ur-kununa,Ur-kunna
107,idab,accept .,took ;
108,mu e cara umma badu,year : “ the house of Šara in Umma was erected . ”,year : “ The house of Šara of Umma was erected . ”
109,duga dubsar,"Duga , scribe ,","Duga , the scribe ."
110,sipa nagabtum,herdsman of the Nakabtum .,shepherds of nagabtum
111,luculgi,"Lu-Šulgi ,","let him ,"
112,NUMB gin kubabbar,NUMB shekel of silver,"NUMB shekels silver ,"
113,ki cunisabata,from Šu-Nisaba,"from Muru ,"
114,mu ludingirake,Since Lu-dingira,year : “ Enmaḫgalana . ”
115,kicib nutukuace,"did not have a seal ,",under seal of Gudea ;
116,kicib duganizi ibra,the seal of Duganizi was rolled ;,"under seal of Duganizi , chief accountant ;"
117,mu e cara badu,"year : “ The house of Šara was erected , ”",year : “ The house of Šara was erected ” ( Šu-Suen NUMB ) .
118,duganizi,"Duganizi ,",( for ) lugal-siskure ;
119,dumu urcakkan cuc,"son of Ur-Šakkan , cattle manager ( ? ) .","son of Bidu , chief cattle manager ,"
120,NUMB gin inun gur,"NUMB shekels butter oil ,","NUMB shekels oil ,"
121,NUMB sila NUMB gin gaUD@g gur,"NUMB sila3 NUMB shekels kašk cheese ,","NUMB sila3 NUMB shekels lard ,"
122,situm mu amarsuen lugale urbilum muhul,"debits of the year : “ Amar-Suen , the king , destroyed Urbilum ; ”","remaining deficit : “ Amar-Suen , the king , destroyed Urbilum . ”"
123,NUMB sila inun gur,"NUMB sila3 butter oil ,","NUMB sila3 of ghee ,"
124,NUMB sila gaUD@g gur,"NUMB sila3 kašk cheese ,","NUMB sila3 bread ,"
125,ki luzabalata,from Lu-Zabala ;,"from Muru ,"
126,NUMB inun,"NUMB butter oil ,","… butter oil ,"
127,NUMB gaUD@g,"NUMB kašk cheese ,","NUMB ( mana wool for ) Ku’e ,"
128,ki urmamita,from Ur-Mami ;,"from Muru ,"
129,ki urnigarta,from Ur-nigar ;,"from Ur-nigar ,"
130,ki dugeta,from Duge ;,"from Muru ,"
131,ki caramuta,from Šara-amu ;,"from Muru ,"
132,ki lugalcunireta,"from Lugal-šunire ,","from Muru ,"
133,ki ceckalata,from Šeškala ;,"from Šeškalla ,"
134,ki ursudata,from Ur-Suda ;,"from Muru ,"
135,ki guzanata,from Guzana ;,"from Muru ,"
136,ki buduta,from Budu ;,"from Muru ,"
137,ki albaniduta,from Albanidu ;,"from Muru ,"
138,ki UCta,from UŠ ;,"from Muru ,"
139,ki akicarta,from Akišar ;,"from Muru ,"
140,cuGIRbi NUMB sila,its šuGIR : NUMB sila3 ;,"NUMB : NUMB lamb ,"
141,NUMB sila i magura,NUMB sila3 ( butter ) oil for “ Barge ; ”,"NUMB lamb of the dida-beer ,"
142,cunigin NUMB sila NUMB gin inun gur,"total : NUMB sila3 NUMB shekels butter oil ,","total : NUMB sila3 NUMB shekels lard ,"
143,cunigin NUMB sila NUMB gin gaUD@g gur,"total : NUMB sila3 NUMB shekels kašk cheese ,","total : NUMB sila3 NUMB shekels silver ,"
144,NUMB sila ga gazi,"NUMB sila3 sumac-cheese ,","NUMB lamb , suckling ,"
145,giri urcakkan,via Ur-Šakkan ;,via Bululu ;
146,NUMB sila gacea gur,"NUMB sila3 yellowed milk ,","NUMB sila3 bread ,"
147,giri kas,via Kas ;,"via Kas ,"
148,ziga bala,booked out of the bala ( obligation ),the bala of the bala
149,mu amarsuen lugale urbilum muhul,"of the year : “ Amar-Suen , the king , destroyed Urbilum ; ”",year : “ Amar-Suen the king destroyed Urbilum . ”
150,NUMB sila ga gazi,"NUMB ban NUMB sila3 sumac-cheese ,","NUMB lamb , suckling ,"
151,NUMB sila gaUD@g,"NUMB ban3 NUMB sila3 kašk cheese ,","NUMB lamb : Ribḫuti ,"
152,ziga bala mu ku guza enlila badim,booked out of the bala ( obligation ) of the year : “ the silvery chair of Enlil was fashioned ; ”,year : “ silver-chair of Enlil was fashioned grains of Enlil was fashioned . ”
153,NUMB mana NUMB gin kubabbar,NUMB mana NUMB shekel silver,"NUMB mana NUMB shekels silver ,"
154,ara NUMB,"the first time ,",the ordNUMB time ;
155,NUMB mana NUMB gin ku,NUMB mana NUMB shekels silver,its interest : NUMB mana NUMB shekels silver ;
156,ara NUMB,"the second time ,",the ordNUMB time ;
157,giri lukala,"via Lukala ,",via Lukalla ;
158,giri urcara caduba,"via Ur-Šara the chief accountant ,","via Ur-Šara , the archivist ;"
159,NUMB gin NUMB ce ku,NUMB shekels NUMB grains silver,"NUMB shekels … grains of silver ,"
160,giri luzabala,"via Lu-Zabala ,",under seal of Puzriš-Enlil .
161,sag nabi NUMB gin NUMB ce ku,"its “ ( scales ) stone overhead ” : NUMB shekel NUMB grains silver ,",its cleaned : NUMB
162,inunbi NUMB sila NUMB gin gur,its butter oil : NUMB sila3 NUMB shekels ;,"NUMB sila3 NUMB shekels ,"
163,sadu ara NUMB,"first sadu-allotment ,",the ordNUMB time ;
164,sadu ara NUMB,"second sadu-allotment ,",the ordNUMB time ;
165,NUMB gacea gibilce,"NUMB yellowed milk … ,","NUMB : Mumu ,"
166,kacdea lugal ummace gena,"beer festival when the king went to Umma ,",to Uruk walked and empty plants .
167,kicibi NUMB,"their sealed documents : NUMB ,","its sealed tablets : NUMB ,"
168,ugu lukala gagadam,to be entered to the debit account of Lukala ;,it is to be placed ( on ) the debit account ( of ) Lukalla ;
169,kicib lukala,"under seal of Lukala ,",under seal of Lukalla ;
170,ugu ure gagadam,to be entered to the debit account of Ur-e'e ;,it is to be placed ( on ) the debit account ( of ) Mani ( ? ) ;
171,NUMB sila NUMB gin inun gur,"NUMB sila3 NUMB shekels butter oil ,","NUMB sila3 NUMB shekels of …-oil ,"
172,NUMB gacea gur,"NUMB yellowed milk ,","NUMB , Baba-izu ,"
173,kicib urculpae,under seal of Ur-Šulpa'e ;,under seal of Ur-Šulpa’e ;
174,cunigin NUMB sila NUMB gin ga gazi gur,"total : NUMB sila3 NUMB shekels sumac-cheese ,","total : NUMB sila3 NUMB shekels silver ,"
175,gaUD@gbi NUMB sila NUMB gin,"its kašk cheese : NUMB sila3 NUMB shekels ,","NUMB lamb , NUMB shekels ,"
176,cunigin NUMB gaUD@g gur,"total : NUMB sila3 kašk cheese ,","total : NUMB , NUMB"
177,cunigin NUMB sila gacea gur,"total NUMB sila3 yellowed milk ,","total : NUMB sila3 bread ,"
178,inunbi NUMB sila NUMB gin,"its butter oil : NUMB sila3 NUMB shekels ,","NUMB lamb , NUMB shekels ,"
179,gaUD@gbi NUMB sila NUMB gin,its kašk cheese : NUMB sila3 NUMB shekels ;,"NUMB lamb , NUMB shekels ,"
180,laia NUMB sila NUMB gin inun gur,"the deficit : NUMB sila3 NUMB shekels butter oil ,","deficit : NUMB sila3 NUMB shekels lard ,"
181,nigkak inun gar,account of butter oil and kašk cheese of,"Account of Amar-Suenītum barge ,"
182,atu cuc,"Atu , the chief cattle manager ;","Atu , cattle manager ,"
183,mu ku guza enlila badim,year : “ The silver-chair of Enlil was fashioned . ”,year : “ silver-chair of Enlil was fashioned . ”
184,nin ku nuna,"Ninkununa ,",Ninkununa
185,lusaizu,"Lu-sa-izu ,",of Lu-sa-izu
186,icib ana,"the incantation-priest of An ,","priest of An ,"
187,gudu cu dadag,the priest with pure hands,gudu received .
188,u dingir galgalene,"and all the great gods ,","and Ninlil , my spouse ,"
189,kiag,as NUMB beloved,as beloved
190,sipa kalamace,"the shepherd of the country ,","as the shepherd of his country ,"
191,u bad martu,when the Mardu wall,"and the NUMB divine powers ,"
192,muriq,( named ) That Which Keeps Distant,"let him ,"
193,tidnim,"the Tidnum ,","let him ,"
194,mudua,"he had built ,",I swore ;
195,u ne martu,and the forces of the Mardu,"and credits of the NUMB elder stand ,"
196,madane,to his own land,"let him ,"
197,bingia,"he had sent back ,","let him ,"
198,e cage pada,"the Temple Chosen by the Heart ,",the house of the great gods
199,NUMB acgar niga saga us,"NUMB female kid , grain-fed , fine , second ( quality ) ,","NUMB barley-fed female kids , grain-fed , ordNUMB grade ,"
200,NUMB ud,"NUMB nanny ,","NUMB nanny goats ,"
201,ki cumamata,from Šu-Mama,"from Muru ,"
202,NUMB ninda gid NUMB kuc dagal ihi NUMB kuc sukud,"( Pise wall : ) NUMB ninda the length , NUMB cubits the average width , NUMB cubits the depth ;",NUMB ninda long ninda NUMB cubits long bran ;
203,NUMB nindana NUMB sarta,"per ( running ) ninda NUMB ( volume ) sar ,","NUMB poplar at NUMB sar ( a day ) ,"
204,kinbi NUMB sar,work involved : NUMB ( volume ) sar ;,"NUMB , NUMB ( volume ) sar ,"
205,guruc NUMB gin NUMB ceta,per worker ( day ) : NUMB ( volume ) shekels ;,"NUMB male laborers , NUMB shekels ,"
206,guruc NUMB ani NUMB silata,disbursement per workerday : NUMB sila3 ( barley ) ;,"NUMB leeks , NUMB time ,"
207,cebi NUMB sila gur,the barley : NUMB sila3 ;,"its barley : NUMB sila3 ,"
208,lu hungame,they are hired men ;,"a man has died ,"
209,NUMB ninda gid NUMB kuc dagal NUMB kuc sukud,"( Pise wall : ) NUMB ninda the length , NUMB cubits the width , NUMB cubits the depth ;",NUMB ninda long ninda NUMB cubits long cubit ;
210,kinbi NUMB sar NUMB gin,work involved : NUMB ( volume ) sar NUMB ( volume ) shekels ;,"its interest : NUMB ( mana ) NUMB shekels ,"
211,gantucme,they are gantuš ;,"let him ,"
212,im dua gida,"pisé wall construction , drawn long ,","wet sheep , replaced ,"
213,kiri babainimsisa,in the orchard of Baba-inim-sisa ;,orchard ( of ) Amar-sunzida
214,ca garcumka,of Garšum ;,"in the basket-of-tablets ,"
215,giri urbaba dumu cabrae,"responsible : Ur-Baba , son of the household manager ,","via Ur-Baba , son of Abu-ru ( ? ) ,"
216,lugalmusuda,"Lugal-musuda ,","let him ,"
217,u lugalbaba dumu urlamma,and Lugal-baba son of Ur-Lamma ;,"and Šū-Mālik , son of Ur-Lamma ,"
218,mu ibisuen lugal,the year : “ Ibbi-Suen is king . ”,year : “ Ibbi-Suen is king ; ”
219,NUMB udu niga inanna unu,"NUMB barley-fed sheep ( for ) Inanna of Uruk ,","NUMB sheep , barley-fed , for Inanna of Uruk ,"
220,giri lugalimah sagi,"via Lugalimah , cupbearer ;","via Bululu , the shepherd ,"
221,NUMB udu ce NUMB sila ga,"NUMB barley-fed sheep , a milk-fed lamb","NUMB sheep , NUMB sila3 barley ,"
222,ictaran,"( for ) Ištaran ,","let him ,"
223,nuhidingirum mackim,"from Nuhi-ilum , the deputy ;","Bēlī-ilī , responsible official ;"
224,NUMB sila ga nanna,"NUMB milk-fed lamb ( for ) Nanna ,","NUMB lambs , suckling , averaged ,"
225,eranada mackim,"from Erranada , the deputy ;","Bēlī-ilī , responsible official ;"
226,siskur ca egal,an offering in the palace ;,"siskur-offering in the palace ,"
227,NUMB macgal niga ilidagan,"NUMB barley-fed large-goat , from Ili-Dagan ,","NUMB buck , barley-fed , for Ilī-Dagan ;"
228,lu ebla,man of Ebla ;,( for ) Ur-e’e
229,NUMB macgal niga,"NUMB barley-fed large-goat ,","NUMB grain-fed large billy goats ,"
230,budur lu urcu,"from … , man of Uršu","the widow , a man of Uršu ,"
231,NUMB macgal niga nagizu lu kingia ca X,"NUMB large barley-fed goat , Nagizu , messenger from Ar-…","NUMB grain-fed adult billygoat , breeder , for Aḫab-atal ,"
232,giri lugalinimgina,via Lugalinimgina ( and ),via Lugal-inim-gina .
233,ARADmu ugula kas,"ARAD-mu , overseer of the messengers ;","foreman : Kas ,"
234,iti u NUMB bazal,"ff the month , NUMB days have passed ,","of the month day NUMB elapsed ,"
235,ki ahunita bazi,"booked out of ( the account of ) Ahuni ,","from ( the account of ) Aḫuni booked out ,"
236,iti sesdagu,"month : “ Eating piglets , ”","month : “ Piglet feast , ”"
237,mu amarsuen lugal,year : “ Amar-Suen became king . ”,year : “ Amar-Suen king ” .
238,lugal kiengi ki uri,king of Sumer and Akkad .,the king of Sumer and Akkad
239,bizu,for Bizu ;,"let him ,"
240,dingirsukkal,for Dingir-sukkal ;,"for Dingir-sukkal ,"
241,nurickur,for Nūr-Adda ;,to Nūr-Adda ;
242,nigbaba,for Nig-Baba ;,Nig-Baba
243,mu cusuen lugal urimake ma darabzu enkika bindu,"year : “ The Shu-Suen , king of Ur , the boat ( named ) ‘Ibex-of-Abzu’ caulked . ”","year : “ Šu-Suen , king of Ur , boat grand-stele for Enki ; ”"
244,ninmar,"To Ninmar ,",For Ninmar
245,nin munusgilsa,"the queen of the Munus-gilsa temple ,","the lady of Utu ,"
246,enmeziana,"( whose second name is ) En-mezi-ana ,","( whose second name is ) Enmeziana ,"
247,en kiag nanceka,"( and also ) the beloved high priest of Nanše ,","and the en-priest of Nanše ,"
248,NUMB mac,"NUMB billy ,","NUMB goats ,"
249,intaea,did Intae’a,Intaea
250,im namcatam,"tablets official ,",clay ( tablets ) in the ‘house’
251,ugula NUMB,foremen of the NUMB ( -man ( labor- ) troops ) of,"foreman : NUMB ,"
252,daumma,"Da’umma ,",in Da-Umma
253,apisal,"Apisal ,","in Apisal ,"
254,u mucbian,and Mušbiana,"and Nawar ,"
255,mu urbilum u mu kimac,year : “ Urbilum and Kimaš were destroyed . ”,year : “ Urbilum and Kimaš were destroyed ; ”
256,endimgig,"of Endimgig ,","let him ,"
257,gilgamese,May Gilgameš,"let him ,"
258,kicib didli X,"sealed documents , varied , … ,","various various … ,"
259,e luginata dea,"from the house ( ? ) of Lugina delivered ,",house of irrigation delivered ;
260,dumu urgigir,son of Ur-gigir,"son of Ur-gigir ,"
261,ki lu muhaldimta,"from Lu'u , the cook ,",to the man who brings him
262,lukala,Lukalla,"Lukalla ,"
263,iti amarasi,"month : “ amar-ayasi , ”","month : “ Amar-ayasi , ”"
264,mu enmahgal nanna bahun,year “ Enmaḫgal of Nanna was installed . ”,year : “ Enmaḫgalana was hired . ”
265,laia NUMB ce gur,"the deficit : NUMB ,","the deficit : NUMB , NUMB barley ,"
266,aca dalbana,field Dalbana ;,"field of the field of Oxen-boot ,"
267,diri NUMB gur,the surplus : NUMB,surplus : NUMB
268,aca igi eamar,field before E-amar ;,before Nur-ili ;
269,laia NUMB gur,the deficit : NUMB,"the deficit : NUMB , NUMB ;"
270,aca edurubazi,field Village-bazi ;,field Muru ;
271,NUMB GAN,NUMB ( esze3 ) NUMB ( iku ) GAN2,"NUMB fields ,"
272,aca abila,field Ab-illa ;,field Muru ;
273,cunigin NUMB GAN,"total : NUMB field surface ,","total : NUMB surface area ,"
274,ugula cuea,"foreman : Šu-Ea ,",foreman : Šu-Ea ;
275,NUMB ku gabIL,NUMB gabIL fish baskets ;,"NUMB fish , agul ,"
276,NUMB guruc u NUMB ma mucen,"NUMB workdays , male laborers , barge of the birds ;","NUMB workdays , male laborers , grass loaded ;"
277,NUMB guruc u NUMB ziga didli,"NUMB workdays , male laborers , various “ booked-outs ” ;","NUMB workdays , male laborers , booked out ,"
278,mu NUMB,ordNUMB year ;,"( a period of ) NUMB years ,"
279,NUMB ku nun saga,"NUMB nun-fish , good quality ;","NUMB Ibbi-Sîn , fine quality ,"
280,ku diri nudab,surplus fish not taken ;,"surplus , surplus of the gods"
281,albanidu,Albanidu,"Albanidu ,"
282,iti ezemculgi,"from month : “ Festival of Šulgi , ”","month : “ Festival-of-Šulgi , ”"
283,iti ezembaba,"to month : Festival of Baba , ”",month “ Festival-of-Baba . ”
284,mu karhar ara NUMB bahulce,year : “ Karḫar for the ordNUMB time was destroyed . ”,"year : “ Karhar , the ordNUMB time for Nanna , ”"
285,NUMB gu cugid,"NUMB oxen , šugid-type ,","NUMB oxen , šugid ( ? ) ,"
286,enlila,Enlila,of Enlil .
287,mu en eridu bahun,year : “ The high priest of Eridu was installed . ”,year : “ The high-priestess of Eridu was hired . ”
288,nance,To Nanše,"For Nanše ,"
289,nincagepada,For Ninšagepada,"let him ,"
290,abi u NUMB,"the labor : NUMB days ,","its labor : NUMB , NUMB days ,"
291,ada guba,"at the water ( works ) stationed ,",irrigation work in the lap
292,aca amarkici,"the field “ Amar-kiši , ”",field Muru ;
293,aca muru,"the field “ Center , ”",at the field Muru ;
294,aca i lugalka,"the field “ Royal waterway , ”","field the Divine canal ,"
295,adea,"water poured ,","for “ beer-drinking , ”"
296,ka i eka kura,"intake of the out-waterway cut off ,","of the waterway of the waterway canal and Ašnan ,"
297,ka i eta,from the intake of the out-waterway,the mouths of the waterway Pirig-gindu
298,aca amarkici X cura,to field “ Amar-kiši ” … leveled ;,but he did not escape from not going .
299,ugula X X,"foreman : … ,","foreman : Lugal-… ,"
300,kicib egalesi,"under seal of Egalesi ,",sealed by Egalesi ;
301,mu usa cusuen lugale bad martu mudu,"year following : “ Šu-Suen , the king , Martu wall erected . ”","year after : “ Šu-Suen , the king , the Amorite wall erected . ”"
302,dumu lubaba,son of Lu-Baba .,"son of Lu-Baba ,"
303,X,of …-abba,… ; .
304,eneru,enuru :,"let him ,"
305,muce kurmucta KA namgi,The snake from snake mountain indeed called .,and restored xxx
306,meTAR an kika,The lizard of heaven and of earth,"and write his daughter ,"
307,eme baniak,licked .,"the accomplished woman ,"
308,dumu meTAR an ki NUMB,"The sons of the lizard , heaven and earth , are NUMB .","son of Gudea , the supervisor of Ur-Nanše ,"
309,pu lilam idu,The well like wind it made .,"therefroms , doorman of doorman ,"
310,a lilam inde,Water like wind he poured out .,"labor of the hired men , of"
311,gug lilam zabi ibdab,Grass like wind its right encircled .,"its accomplished : Ur-Nanše , the trade agent ,"
312,gugbi gabuni,"Its grass , his left","debits , Utu ,"
313,mubze,it tore out .,"let him ,"
314,X cu umagi,Then his … held firm .,"… Adda-kal ,"
315,X X zu helae,… the ( snake’s ) fang may he bind .,"… Gudea , Šipara ,"
316,tutu abzu eriduga asarluhi dumu eriduke,"The incantations ( ? ) of the Abzu of Eridu of Asalluhi , son of Eridu :","the deficit of the libation priest of Lu-Utu , the archivist ,"
317,namudabure,may they not be undone .,"let him ,"
318,nisaba,"Nisaba ,","To Nisaba ,"
