,Sumerian - Input,English - Exact,English - Predicted
76,ziga ki lugalnamah,booked out of the place of Lugal-nammaḫ ;,from Lugal-tugmaḫ ;
77,iti ezemdumuzi u NUMB,"month : “ Festival of Dumuzi , ” day NUMB ,","month “ Festival of Dumuzi , ” ordNUMB day completed ,"
78,mu magurmah badim,year : “ Great-barge was fashioned . ”,year : “ Great-barge was fashioned ; ”
79,X X X hia,Assorted …,various …
80,namrac,into booty,that which into booty
81,hadak,I made .,"Babati ,"
82,NEC lugal,… the king,the king
83,X,"of … ,",of Nun-… ;
84,caga,into captivity,for Šaga ;
85,henidab,"I took ,","Babati ,"
86,cumu barabatae,and I did not let him escape my hand .,"Babati ,"
87,lu hul,A person who the order of a wicked thing,to another man
88,NUMB kikken adabar saga,NUMB millstone of high-quality black basalt ( ? ),"NUMB ( gur ) NUMB , fine quality ,"
89,lugalitida,( for ) Lugal-itida,Lugal-itida ;
90,NUMB kikken adabar,NUMB millstone of black basalt,NUMB ( mana wool for ) mill ;
91,akala acgab,"( for ) Akalla , the leatherworker ;","Ur-Šulpae , the leatherworker ,"
92,NUMB kikken ucmu X,"NUMB millstone ( of black basalt for ) Ušmu ,","NUMB … for Ninḫursag ,"
93,NUMB kikken akadani,"NUMB millstone ( of black basalt for ) Akadani ,",NUMB ( mana wool for ) mill ;
94,NUMB kikken carazame,"NUMB millstone ( of black basalt for ) Šara-zame ,","NUMB Šara-zame ,"
95,ki aduta,"from Adu ,",from ADU
96,kicib urnumucda,the sealed tablet of Ur-Numushda .,sealed tablet of Ur-Numušda .
97,mu usa cusuen lugale bad martu mudu,Year after : “ The king Šu-Suen erected the Amorite wall . ”,"year after : “ Šu-Suen , the king , the Martu Wall erected . ”"
98,NUMB amar macdamunus,NUMB young female gazelle,NUMB female gazelle fawn
99,dada ensi,"( from ) Dada , governor ;","( from ) Dada , the governor ,"
100,NUMB sila umu,NUMB lamb ( from ) U’umu ;,NUMB lamb for …
101,NUMB sila ceckala,NUMB lamb ( from ) Šeshkalla ;,"NUMB lamb of Šeškalla ,"
102,idab,"has accepted ,",took control of .
103,mu cusuen lugal,year : “ Šu-Suen became king . ”,year “ Šu-Suen is king . ”
104,NUMB udu u,"NUMB grass ( -fed ) sheep ? ,","NUMB sheep , grass-fed ,"
105,ki culgilita,from Šulgi-ili,from Šulgi-ilī
106,urkununa,did Ur-kununa,Ur-kunna
107,idab,accept .,took control of .
108,mu e cara umma badu,year : “ the house of Šara in Umma was erected . ”,year : “ The house of Šara of Umma was erected . ”
109,duga dubsar,"Duga , scribe ,",Duga accepted .
110,sipa nagabtum,herdsman of the Nakabtum .,shepherds of nagabtum
111,luculgi,"Lu-Šulgi ,","Babati ,"
112,NUMB gin kubabbar,NUMB shekel of silver,NUMB shekel silver
113,ki cunisabata,from Šu-Nisaba,from Turaya
114,mu ludingirake,Since Lu-dingira,year “ … ”
115,kicib nutukuace,"did not have a seal ,",under seal of Da’agi ;
116,kicib duganizi ibra,the seal of Duganizi was rolled ;,"under seal of Duganizi , supervisor of oxen ,"
117,mu e cara badu,"year : “ The house of Šara was erected , ”",year : “ The house of Šara was erected . ”
118,duganizi,"Duganizi ,",she is the slave girl of Duganizi . ”
119,dumu urcakkan cuc,"son of Ur-Šakkan , cattle manager ( ? ) .","son of Lugal-engardug ,"
120,NUMB gin inun gur,"NUMB shekels butter oil ,","… NUMB shekels butter oil ,"
121,NUMB sila NUMB gin gaUD@g gur,"NUMB sila3 NUMB shekels kašk cheese ,","NUMB , NUMB , NUMB , NUMB sila3 NUMB shekels flour ,"
122,situm mu amarsuen lugale urbilum muhul,"debits of the year : “ Amar-Suen , the king , destroyed Urbilum ; ”",Year : “ King Amar-Suen destroyed Urbilum . ”
123,NUMB sila inun gur,"NUMB sila3 butter oil ,","and NUMB sila3 of ghee ,"
124,NUMB sila gaUD@g gur,"NUMB sila3 kašk cheese ,","NUMB sila3 , Luga…"
125,ki luzabalata,from Lu-Zabala ;,from Turaya
126,NUMB inun,"NUMB butter oil ,","… butter oil ,"
127,NUMB gaUD@g,"NUMB kašk cheese ,",NUMB ( mana wool for ) Ur-Urbartab
128,ki urmamita,from Ur-Mami ;,from Turaya
129,ki urnigarta,from Ur-nigar ;,from Ur-nigar
130,ki dugeta,from Duge ;,from Turaya
131,ki caramuta,from Šara-amu ;,from Turaya
132,ki lugalcunireta,"from Lugal-šunire ,",from Turaya
133,ki ceckalata,from Šeškala ;,"from Šeškalla ,"
134,ki ursudata,from Ur-Suda ;,from Turaya
135,ki guzanata,from Guzana ;,from Turaya
136,ki buduta,from Budu ;,from Turaya
137,ki albaniduta,from Albanidu ;,from Turaya
138,ki UCta,from UŠ ;,from Turaya
139,ki akicarta,from Akišar ;,from Turaya
140,cuGIRbi NUMB sila,its šuGIR : NUMB sila3 ;,NUMB lamb ;
141,NUMB sila i magura,NUMB sila3 ( butter ) oil for “ Barge ; ”,"NUMB lambs of oil , NUMB shekels of naga ,"
142,cunigin NUMB sila NUMB gin inun gur,"total : NUMB sila3 NUMB shekels butter oil ,","together : NUMB sila NUMB shekels of ghee ,"
143,cunigin NUMB sila NUMB gin gaUD@g gur,"total : NUMB sila3 NUMB shekels kašk cheese ,","total : NUMB sila3 NUMB shekels ,"
144,NUMB sila ga gazi,"NUMB sila3 sumac-cheese ,",NUMB suckling lamb for …
145,giri urcakkan,via Ur-Šakkan ;,via Intake ;
146,NUMB sila gacea gur,"NUMB sila3 yellowed milk ,","NUMB sila3 , Luga…"
147,giri kas,via Kas ;,via Kas
148,ziga bala,booked out of the bala ( obligation ),bala credits of the bala ;
149,mu amarsuen lugale urbilum muhul,"of the year : “ Amar-Suen , the king , destroyed Urbilum ; ”",year : “ xxx . ”
150,NUMB sila ga gazi,"NUMB ban NUMB sila3 sumac-cheese ,",NUMB suckling lamb for …
151,NUMB sila gaUD@g,"NUMB ban3 NUMB sila3 kašk cheese ,",NUMB lamb for …
152,ziga bala mu ku guza enlila badim,booked out of the bala ( obligation ) of the year : “ the silvery chair of Enlil was fashioned ; ”,year : “ silver-chair of Enlil was fashioned . ”
153,NUMB mana NUMB gin kubabbar,NUMB mana NUMB shekel silver,"NUMB mana NUMB shekels silver ,"
154,ara NUMB,"the first time ,","twofold ,"
155,NUMB mana NUMB gin ku,NUMB mana NUMB shekels silver,"NUMB mana NUMB shekels silver ,"
156,ara NUMB,"the second time ,","twofold ,"
157,giri lukala,"via Lukala ,",via Lukalla ;
158,giri urcara caduba,"via Ur-Šara the chief accountant ,","via Ur-Šara , chief accountant ;"
159,NUMB gin NUMB ce ku,NUMB shekels NUMB grains silver,"NUMB shekels … grains of silver ,"
160,giri luzabala,"via Lu-Zabala ,","via Lu-Zabala , the"
161,sag nabi NUMB gin NUMB ce ku,"its “ ( scales ) stone overhead ” : NUMB shekel NUMB grains silver ,",whose stone
162,inunbi NUMB sila NUMB gin gur,its butter oil : NUMB sila3 NUMB shekels ;,"NUMB , NUMB , NUMB shekels ,"
163,sadu ara NUMB,"first sadu-allotment ,",second time .
164,sadu ara NUMB,"second sadu-allotment ,",second time .
165,NUMB gacea gibilce,"NUMB yellowed milk … ,",NUMB ( mana wool for ) Nari-daḫ . ha ( ? )
166,kacdea lugal ummace gena,"beer festival when the king went to Umma ,",walked and fattening oxen to the king
167,kicibi NUMB,"their sealed documents : NUMB ,","its sealed tablets : NUMB ,"
168,ugu lukala gagadam,to be entered to the debit account of Lukala ;,it is to be placed ( on ) the debit account ( of ) Lukalla placed ;
169,kicib lukala,"under seal of Lukala ,",sealed tablet of Lukalla .
170,ugu ure gagadam,to be entered to the debit account of Ur-e'e ;,it is to be placed ( on ) the debit account ( of ) Ur-e’e set ;
171,NUMB sila NUMB gin inun gur,"NUMB sila3 NUMB shekels butter oil ,","NUMB sila3 NUMB shekels flour ,"
172,NUMB gacea gur,"NUMB yellowed milk ,","NUMB … gur … ,"
173,kicib urculpae,under seal of Ur-Šulpa'e ;,under seal of Ur-Šulpa’e ;
174,cunigin NUMB sila NUMB gin ga gazi gur,"total : NUMB sila3 NUMB shekels sumac-cheese ,",total : NUMB sila3 NUMB shekels oil ;
175,gaUD@gbi NUMB sila NUMB gin,"its kašk cheese : NUMB sila3 NUMB shekels ,","NUMB lamb , NUMB shekels ,"
176,cunigin NUMB gaUD@g gur,"total : NUMB sila3 kašk cheese ,",total : NUMB … NUMB sila3 gur ;
177,cunigin NUMB sila gacea gur,"total NUMB sila3 yellowed milk ,","total : NUMB , NUMB sila3 of"
178,inunbi NUMB sila NUMB gin,"its butter oil : NUMB sila3 NUMB shekels ,","NUMB lamb , NUMB shekels ,"
179,gaUD@gbi NUMB sila NUMB gin,its kašk cheese : NUMB sila3 NUMB shekels ;,"NUMB lamb , NUMB shekels ,"
180,laia NUMB sila NUMB gin inun gur,"the deficit : NUMB sila3 NUMB shekels butter oil ,","Deficit : NUMB , NUMB shekels workdays ,"
181,nigkak inun gar,account of butter oil and kašk cheese of,"accounts of clarified butter ,"
182,atu cuc,"Atu , the chief cattle manager ;","Atu , chief cattle administrator ,"
183,mu ku guza enlila badim,year : “ The silver-chair of Enlil was fashioned . ”,year : “ silver-chair of Enlil was fashioned . ”
184,nin ku nuna,"Ninkununa ,",Ninkununa
185,lusaizu,"Lu-sa-izu ,",of Lu-sa-izu
186,icib ana,"the incantation-priest of An ,","priest of An ,"
187,gudu cu dadag,the priest with pure hands,gudu ( -officiant ) of the Emaḫ .
188,u dingir galgalene,"and all the great gods ,","true god , grass-fed ,"
189,kiag,as NUMB beloved,beloved
190,sipa kalamace,"the shepherd of the country ,","as the shepherd of his country ,"
191,u bad martu,when the Mardu wall,"and the Amorite wall ,"
192,muriq,( named ) That Which Keeps Distant,"Babati ,"
193,tidnim,"the Tidnum ,","Babati ,"
194,mudua,"he had built ,","I built ,"
195,u ne martu,and the forces of the Mardu,"and PI-bi2-il , Amorite wall ,"
196,madane,to his own land,"Babati ,"
197,bingia,"he had sent back ,","Babati ,"
198,e cage pada,"the Temple Chosen by the Heart ,","nominated ,"
199,NUMB acgar niga saga us,"NUMB female kid , grain-fed , fine , second ( quality ) ,","NUMB female kids , barley-fed , ordNUMB grade ,"
200,NUMB ud,"NUMB nanny ,","NUMB female goat ,"
201,ki cumamata,from Šu-Mama,from Turaya
202,NUMB ninda gid NUMB kuc dagal ihi NUMB kuc sukud,"( Pise wall : ) NUMB ninda the length , NUMB cubits the average width , NUMB cubits the depth ;",NUMB ninda NUMB cubits the length ;
203,NUMB nindana NUMB sarta,"per ( running ) ninda NUMB ( volume ) sar ,","NUMB sar , hoed at NUMB sar ( per day ) ,"
204,kinbi NUMB sar,work involved : NUMB ( volume ) sar ;,"NUMB sar , hoed at NUMB sar ( per day ) ,"
205,guruc NUMB gin NUMB ceta,per worker ( day ) : NUMB ( volume ) shekels ;,"the barley , NUMB shekels workdays ,"
206,guruc NUMB ani NUMB silata,disbursement per workerday : NUMB sila3 ( barley ) ;,"NUMB male workers , NUMB sila3 each"
207,cebi NUMB sila gur,the barley : NUMB sila3 ;,"NUMB sila3 ,"
208,lu hungame,they are hired men ;,to another man
209,NUMB ninda gid NUMB kuc dagal NUMB kuc sukud,"( Pise wall : ) NUMB ninda the length , NUMB cubits the width , NUMB cubits the depth ;",NUMB ninda NUMB cubits the length ;
210,kinbi NUMB sar NUMB gin,work involved : NUMB ( volume ) sar NUMB ( volume ) shekels ;,"NUMB sar , NUMB shekels ,"
211,gantucme,they are gantuš ;,"Babati ,"
212,im dua gida,"pisé wall construction , drawn long ,",tablets
213,kiri babainimsisa,in the orchard of Baba-inim-sisa ;,orchard …
214,ca garcumka,of Garšum ;,in Kar-geštin
215,giri urbaba dumu cabrae,"responsible : Ur-Baba , son of the household manager ,","via Ur-Baba , son of … ,"
216,lugalmusuda,"Lugal-musuda ,","Babati ,"
217,u lugalbaba dumu urlamma,and Lugal-baba son of Ur-Lamma ;,"and Ur-Lamma , son of Ur-nig ,"
218,mu ibisuen lugal,the year : “ Ibbi-Suen is king . ”,year : “ Ibbi-Suen is king . ”
219,NUMB udu niga inanna unu,"NUMB barley-fed sheep ( for ) Inanna of Uruk ,","NUMB sheep , barley-fed , for Inanna of Uruk ,"
220,giri lugalimah sagi,"via Lugalimah , cupbearer ;","via cupbearer , responsible official ;"
221,NUMB udu ce NUMB sila ga,"NUMB barley-fed sheep , a milk-fed lamb","NUMB rams , NUMB male lambs ,"
222,ictaran,"( for ) Ištaran ,","Babati ,"
223,nuhidingirum mackim,"from Nuhi-ilum , the deputy ;","…-zi , responsible official ;"
224,NUMB sila ga nanna,"NUMB milk-fed lamb ( for ) Nanna ,","NUMB suckling male lambs ,"
225,eranada mackim,"from Erranada , the deputy ;","…-zi , responsible official ;"
226,siskur ca egal,an offering in the palace ;,siskur-offering in the palace ;
227,NUMB macgal niga ilidagan,"NUMB barley-fed large-goat , from Ili-Dagan ,","NUMB buck , barley-fed , for Ilī-Dagan from Ebla ;"
228,lu ebla,man of Ebla ;,Ebla Ebla
229,NUMB macgal niga,"NUMB barley-fed large-goat ,","NUMB bucks , barley-fed ,"
230,budur lu urcu,"from … , man of Uršu","to the man of Uršu ,"
231,NUMB macgal niga nagizu lu kingia ca X,"NUMB large barley-fed goat , Nagizu , messenger from Ar-…","NUMB buck , barley-fed , … ,"
232,giri lugalinimgina,via Lugalinimgina ( and ),via Lugal-inim-gina .
233,ARADmu ugula kas,"ARAD-mu , overseer of the messengers ;","ARADmu , foreman of Kas ,"
234,iti u NUMB bazal,"ff the month , NUMB days have passed ,","of the month day NUMB passed ,"
235,ki ahunita bazi,"booked out of ( the account of ) Ahuni ,",from ( the account of ) Aḫuni booked out ;
236,iti sesdagu,"month : “ Eating piglets , ”","month : “ Piglet-feast , ”"
237,mu amarsuen lugal,year : “ Amar-Suen became king . ”,year : “ Amar-Suen king ” .
238,lugal kiengi ki uri,king of Sumer and Akkad .,"king of Sumer and Akkad ,"
239,bizu,for Bizu ;,"Babati ,"
240,dingirsukkal,for Dingir-sukkal ;,"for Dingir-sukkal ,"
241,nurickur,for Nūr-Adda ;,"Nūr-Adda ,"
242,nigbaba,for Nig-Baba ;,Nig-Baba
243,mu cusuen lugal urimake ma darabzu enkika bindu,"year : “ The Shu-Suen , king of Ur , the boat ( named ) ‘Ibex-of-Abzu’ caulked . ”","year : “ Šu-Suen , king of Ur , the boat of Enki fashioned . ”"
244,ninmar,"To Ninmar ,",For Ninmar
245,nin munusgilsa,"the queen of the Munus-gilsa temple ,","( to ) the queen of the Eanna temple ,"
246,enmeziana,"( whose second name is ) En-mezi-ana ,","( whose second name is ) Enmeziana ,"
247,en kiag nanceka,"( and also ) the beloved high priest of Nanše ,","the beloved en-priest of ,"
248,NUMB mac,"NUMB billy ,",NUMB goat
249,intaea,did Intae’a,Inta’e’a
250,im namcatam,"tablets official ,","documents , official ,"
251,ugula NUMB,foremen of the NUMB ( -man ( labor- ) troops ) of,foreman : NUMB foreman : NUMB
252,daumma,"Da’umma ,",in Da-Umma
253,apisal,"Apisal ,","in Apisal ,"
254,u mucbian,and Mušbiana,"and …-zi ,"
255,mu urbilum u mu kimac,year : “ Urbilum and Kimaš were destroyed . ”,"and the year : “ Urbilum , ”"
256,endimgig,"of Endimgig ,","Babati ,"
257,gilgamese,May Gilgameš,"Babati ,"
258,kicib didli X,"sealed documents , varied , … ,","various sealed documents … ,"
259,e luginata dea,"from the house ( ? ) of Lugina delivered ,",the house of Lugina ;
260,dumu urgigir,son of Ur-gigir,"son of Ur-gigir ,"
261,ki lu muhaldimta,"from Lu'u , the cook ,",from another man …
262,lukala,Lukalla,for Lukalla ;
263,iti amarasi,"month : “ amar-ayasi , ”",month “ Amar-ayasi ” ;
264,mu enmahgal nanna bahun,year “ Enmaḫgal of Nanna was installed . ”,year : “ the en-priestess of Nanna was installed . ”
265,laia NUMB ce gur,"the deficit : NUMB ,","the deficit : NUMB , NUMB barley ;"
266,aca dalbana,field Dalbana ;,"( s ) between the ( canal ) outlets to explore , sent back ;"
267,diri NUMB gur,the surplus : NUMB,surplus : NUMB
268,aca igi eamar,field before E-amar ;,"before : field of ,"
269,laia NUMB gur,the deficit : NUMB,"the deficit : NUMB , NUMB ;"
270,aca edurubazi,field Village-bazi ;,field Muru ;
271,NUMB GAN,NUMB ( esze3 ) NUMB ( iku ) GAN2,per NUMB
272,aca abila,field Ab-illa ;,field Muru ;
273,cunigin NUMB GAN,"total : NUMB field surface ,",total : NUMB surface area at NUMB each ;
274,ugula cuea,"foreman : Šu-Ea ,","foreman : Šu-Ea ,"
275,NUMB ku gabIL,NUMB gabIL fish baskets ;,"NUMB silver , agul silver ,"
276,NUMB guruc u NUMB ma mucen,"NUMB workdays , male laborers , barge of the birds ;","NUMB workdays , male laborers ,"
277,NUMB guruc u NUMB ziga didli,"NUMB workdays , male laborers , various “ booked-outs ” ;","NUMB workdays , male laborers , various ,"
278,mu NUMB,ordNUMB year ;,for NUMB years
279,NUMB ku nun saga,"NUMB nun-fish , good quality ;","NUMB Noble Canal ,"
280,ku diri nudab,surplus fish not taken ;,"surplus : extra silver , agul silver ,"
281,albanidu,Albanidu,"Albanidu ,"
282,iti ezemculgi,"from month : “ Festival of Šulgi , ”",month : “ Šulgi ; ”
283,iti ezembaba,"to month : Festival of Baba , ”","month “ Festival-of-Baba , ”"
284,mu karhar ara NUMB bahulce,year : “ Karḫar for the ordNUMB time was destroyed . ”,"year : “ Karhar for the ordNUMB time was destroyed , ”"
285,NUMB gu cugid,"NUMB oxen , šugid-type ,","NUMB šugid offerings ,"
286,enlila,Enlila,"by Enlil ,"
287,mu en eridu bahun,year : “ The high priest of Eridu was installed . ”,Year : She was installed as en-priestess of Eridu
288,nance,To Nanše,"For Nanše ,"
289,nincagepada,For Ninšagepada,"Babati ,"
290,abi u NUMB,"the labor : NUMB days ,",its labor : NUMB days
291,ada guba,"at the water ( works ) stationed ,",irrigation work in the Adda stationed ;
292,aca amarkici,"the field “ Amar-kiši , ”",field Muru ;
293,aca muru,"the field “ Center , ”",field Muru ;
294,aca i lugalka,"the field “ Royal waterway , ”","field Bur… ,"
295,adea,"water poured ,","Irrigation , … ,"
296,ka i eka kura,"intake of the out-waterway cut off ,","Lu-… ,"
297,ka i eta,from the intake of the out-waterway,"she has no sons ,"
298,aca amarkici X cura,to field “ Amar-kiši ” … leveled ;,field … ;
299,ugula X X,"foreman : … ,","foreman : Lugal-… ,"
300,kicib egalesi,"under seal of Egalesi ,",sealed by Egalesi ;
301,mu usa cusuen lugale bad martu mudu,"year following : “ Šu-Suen , the king , Martu wall erected . ”","year after : “ Šu-Suen , the king , the Martu Wall erected . ”"
302,dumu lubaba,son of Lu-Baba .,"son of Lu-Baba ,"
303,X,of …-abba,of Nun-… ;
304,eneru,enuru :,"Babati ,"
305,muce kurmucta KA namgi,The snake from snake mountain indeed called .,…
306,meTAR an kika,The lizard of heaven and of earth,king of NUMB quarters :
307,eme baniak,licked .,"jenny ,"
308,dumu meTAR an ki NUMB,"The sons of the lizard , heaven and earth , are NUMB .","from NUMB children , NUMB mina each ;"
309,pu lilam idu,The well like wind it made .,", porters ,"
310,a lilam inde,Water like wind he poured out .,dedicated ( this ) .
311,gug lilam zabi ibdab,Grass like wind its right encircled .,"NUMB , seized ,"
312,gugbi gabuni,"Its grass , his left","Babati ,"
313,mubze,it tore out .,"Babati ,"
314,X cu umagi,Then his … held firm .,… received .
315,X X zu helae,… the ( snake’s ) fang may he bind .,"… , … ,"
316,tutu abzu eriduga asarluhi dumu eriduke,"The incantations ( ? ) of the Abzu of Eridu of Asalluhi , son of Eridu :","in Eridu , son of … ;"
317,namudabure,may they not be undone .,"Babati ,"
318,nisaba,"Nisaba ,","To Nisaba ,"
319,munuszi,"the righteous woman ,","Babati ,"
320,munus saga,the beautiful woman .,"the beautiful woman ,"
321,adakala,"Addakala ,",Adda-kalla .
322,musar,"wrote ,","Babati ,"
323,igiza hensa,( so that ) in your eyes he indeed pleased .,may he find favor .
324,bala saga,Good bala .,"fine the bala good quality ,"
325,urama,"Ur-amma ,",Ur-amma ;
326,dumu nasilim,"son of Nasilim ,",son of Nasilim .
327,mu didli ceba,"various years , barley rations ,","various years of barley rations ,"
328,ce erina,barley of the ( labor- ) troops,barley of the work-troops ;
329,u cabi suga,"and therefroms , restitutions ,","and therefroms , restitutions ,"
330,nigka ceka,"accounts of barley ,",done account of
331,mu cusuen lugal urimake madarabzu enkika bindu,"year : “ By Šu-Suen , king of Ur , the boat ‘Ibex-of-Apsu’ of Enki was caulked . ”","year : “ Šu-Suen , king of Ur , the boat of Enki fashioned . ”"
332,dumu nasa kurucda,"son of Nasa , the fattener ,","son of Nasa , fattener ."
