,Sumerian - Input,English - Exact,English - Predicted
28,NUMB esir X,NUMB pairs ? of leather sandals,"NUMB sheep … ,"
29,kubi NUMB gin X,their silver : NUMB shekel …,its silver : NUMB shekels …
30,kubi n,their silver : …,its silver : NUMB ( shekel ) ;
31,ce icahka,barley of the lard .,"barley of the oxen-fields ,"
32,cunigin NUMB mana NUMB gin NUMB ce kubabbar,"Together : NUMB mana , NUMB shekels , NUMB grains of silver","total : NUMB mana , NUMB shekels , NUMB grains of silver ."
33,NUMB mana la NUMB gin NUMB ce kubabbar,"NUMB mana NUMB shekel , NUMB grains of silver ,","NUMB mana , NUMB shekel NUMB grains silver ,"
34,kubi NUMB mana NUMB gin,"their silver : NUMB mana , NUMB shekels ,",the silver : NUMB mana NUMB shekels ;
35,kicib lukala,under the seal of Lukalla ;,under seal of Lukalla ;
36,NUMB sila icah gur,"NUMB , NUMB , NUMB , NUMB sila3 of lard ,","NUMB sila3 of lard ,"
37,kubi NUMB mana NUMB gin la NUMB ce,"its silver : NUMB mana , NUMB shekels NUMB grains ,",its silver : NUMB mana NUMB shekels NUMB grains ;
38,kicib urculpae,under the seal of Ur-Šulpae ;,under seal of Ur-Šulpa’e ;
39,NUMB sila gectin had sadu lugal,"NUMB sila3 of raisins , royal supplement ,","NUMB ban , food of the royal ( grade ) ,"
40,NUMB sila gectin had giri lugalcala,"NUMB sila3 of raisins via Lugal-šala ,","NUMB sila3 , Šeš-dada , … ,"
41,kubi NUMB,their silver : NUMB shekel ;,its silver : NUMB shekel ;
42,NUMB kabkul,"NUMB wooden k-containers ,","NUMB PAda ,"
43,kubi NUMB gin,their silver : NUMB shekels ;,the silver : NUMB shekels ;
44,kicib agu,under the seal of Agu ;,under seal of Agu ;
45,NUMB gin ku uruda urima,"NUMB shekels of silver for Ur copper ,","NUMB shekels silver of copper ,"
46,giri urlamma u elubizu,via Ur-Lamma and Elubizu .,via Ur-Lamma and Kusig-banda ;
47,cunigin NUMB mana NUMB ce kubabbar,"Together : NUMB mana , NUMB shekel , NUMB grains of silver",total : NUMB minas NUMB shekel NUMB grains of silver ;
48,laia NUMB mana NUMB gin NUMB ce kubabbar,"debit : NUMB mana , NUMB shekel , NUMB grains of silver ;","the deficit ( ? ) : NUMB mana , NUMB shekels NUMB grains of silver ;"
49,nigkak ceckala damgar,"account of Šeškala , the trade agent ;","accounts of Šeškalla , merchant ,"
50,mu enunugal inanna bahun,year : “ En-unugal-Inanna was installed . ”,year : “ Enunugal of Inanna was installed . ”
51,ninkununa,To Ninkununa,he set up for him .
52,NUMB icah,"NUMB of lard ,","NUMB mare ,"
53,u amarduta baradua,"when from … they were released ,","and Geme-Enlil , his women ,"
54,geme babde,the female workers brought ( ? ) ;,the female slave whom the Brothers
55,ki luginata,from Lugina ( ’s account ),out of ( the account of ) Lu-gina
56,luenki,for Lu-Enki ;,“ beer-pouring ” ;
57,NUMB gin i NUMB gin naga,"NUMB shekels oils , NUMB shekels alkali-plant ,",NUMB shekels oil ; NUMB shekels alkali-plant ;
58,laqip,for Laqīp ;,"say ,"
59,urdari,for Ur-dari ;,"say ,"
60,aliah,for Ali’aḫ ;,"say ,"
61,duili,for Du-ilī ;,Nūr-ilī ;
62,cunigin NUMB sila kac NUMB sila ninda,total : NUMB sila3 beer ; NUMB sila3 bread ;,total : NUMB sila3 beer ; NUMB sila3 bread ;
63,NUMB sila NUMB gin cum,NUMB sila3 NUMB shekels onions ;,"NUMB sila3 NUMB shekels onions ,"
64,NUMB sila NUMB gin i,NUMB sila3 NUMB shekel oil ;,"NUMB sila3 NUMB shekels oil ,"
65,NUMB gin naga,NUMB shekels alkali plant ;,"NUMB shekels alkali-plant ,"
66,NUMB udu abul bara utu,"NUMB sheep , city gate , dais of Utu ;","NUMB sheep of oak ,"
67,NUMB udu abul baba,"NUMB sheep , city gate of Baba ;","NUMB sheep , ašlum ,"
68,NUMB udu abul egal,"NUMB sheep , city gate , palace ;","NUMB rams , wort ,"
69,NUMB udu abul nance,"NUMB sheep , city gate of Nanše ;","NUMB sheep of Rim-ili ,"
70,NUMB udu eunuce,"NUMB sheep , House-of-Uruk ;","NUMB fleece-less sheep of Rim-ili ,"
71,NUMB udu ga magura ningeczida,"NUMB sheep , cabin of the barge of Ningešzida ;","NUMB sheep , ašlum , sheep , uncovered offerings ,"
72,NUMB udu gudea,"NUMB sheep , Gudea ;","NUMB fleece-less sheep ,"
73,NUMB udu urlamma ensi,"NUMB sheep , Ur-Lamma , the governor ;","NUMB sheep , the governor ;"
74,siskur ga guce,offering for milk-feeding ;,"sweet-wort and Ur-gigir , Šimašgi ,"
75,giri akala luinima,"via Akalla , man of testimony ;","Responsible : Ur-Šulpa’e ,"
76,ziga ki lugalnamah,booked out of the place of Lugal-nammaḫ ;,"booked out , Booked ;"
77,iti ezemdumuzi u NUMB,"month : “ Festival of Dumuzi , ” day NUMB ,","the month “ Festival-of-Amar-Suen , ” ordNUMB day ,"
78,mu magurmah badim,year : “ Great-barge was fashioned . ”,year : “ Great-barge was fashioned . ”
79,X X X hia,Assorted …,"… , flood"
80,namrac,into booty,that which into booty
81,hadak,I made .,"say ,"
82,NEC lugal,… the king,"royal soldier ,"
83,X,"of … ,","Ur-Gal-… ,"
84,caga,into captivity,for Šaga ;
85,henidab,"I took ,","say ,"
86,cumu barabatae,and I did not let him escape my hand .,"x-agazi ,"
87,lu hul,A person who the order of a wicked thing,"the man who turned her ,"
88,NUMB kikken adabar saga,NUMB millstone of high-quality black basalt ( ? ),"NUMB sheep , Šeš-dada , good quality ,"
89,lugalitida,( for ) Lugal-itida,Lugal-itida ;
90,NUMB kikken adabar,NUMB millstone of black basalt,"NUMB , Ur-Nun-gal ,"
91,akala acgab,"( for ) Akalla , the leatherworker ;","Ayakalla , the leatherworker ,"
92,NUMB kikken ucmu X,"NUMB millstone ( of black basalt for ) Ušmu ,","NUMB sheep … ,"
93,NUMB kikken akadani,"NUMB millstone ( of black basalt for ) Akadani ,","NUMB , Ur-Nun-gal ,"
94,NUMB kikken carazame,"NUMB millstone ( of black basalt for ) Šara-zame ,","NUMB ( sila3 ) : Itidam , matters ;"
95,ki aduta,"from Adu ,",From Adu ? ;
96,kicib urnumucda,the sealed tablet of Ur-Numushda .,"under seal of Sukkal-dide ,"
97,mu usa cusuen lugale bad martu mudu,Year after : “ The king Šu-Suen erected the Amorite wall . ”,"year after : “ Šu-Suen , the king , the Amorite wall erected . ”"
98,NUMB amar macdamunus,NUMB young female gazelle,NUMB female gazelle fawn
99,dada ensi,"( from ) Dada , governor ;","Dada , the governor ;"
100,NUMB sila umu,NUMB lamb ( from ) U’umu ;,"NUMB lamb of Ṣelli-Šulgi ,"
101,NUMB sila ceckala,NUMB lamb ( from ) Šeshkalla ;,NUMB sila3 : Šeškala ;
102,idab,"has accepted ,",took ;
103,mu cusuen lugal,year : “ Šu-Suen became king . ”,year : “ Šū-Suen is king . ”
104,NUMB udu u,"NUMB grass ( -fed ) sheep ? ,","NUMB sheep , grass-fed ;"
105,ki culgilita,from Šulgi-ili,from Šulgi-ilī
106,urkununa,did Ur-kununa,"Ur-kununa ,"
107,idab,accept .,took ;
108,mu e cara umma badu,year : “ the house of Šara in Umma was erected . ”,year : “ The house of Šara of Umma was built . ”
109,duga dubsar,"Duga , scribe ,","Duga , the scribe ;"
110,sipa nagabtum,herdsman of the Nakabtum .,herder of the nakabtum .
111,luculgi,"Lu-Šulgi ,","say ,"
112,NUMB gin kubabbar,NUMB shekel of silver,"NUMB shekels silver ,"
113,ki cunisabata,from Šu-Nisaba,"from Ur-Ḫalmuša ,"
114,mu ludingirake,Since Lu-dingira,because of Namu
115,kicib nutukuace,"did not have a seal ,","under seal of Aramu ,"
116,kicib duganizi ibra,the seal of Duganizi was rolled ;,"under seal of Inim-Baba , brother ( of ) Sidu ,"
117,mu e cara badu,"year : “ The house of Šara was erected , ”",year : “ The house of Šara was built . ”
118,duganizi,"Duganizi ,","Egalesi ,"
119,dumu urcakkan cuc,"son of Ur-Šakkan , cattle manager ( ? ) .","son of Idī-Erra , chief cattle manager ,"
120,NUMB gin inun gur,"NUMB shekels butter oil ,","NUMB sila3 butter oil ,"
121,NUMB sila NUMB gin gaUD@g gur,"NUMB sila3 NUMB shekels kašk cheese ,","NUMB sila3 NUMB shekels each ,"
122,situm mu amarsuen lugale urbilum muhul,"debits of the year : “ Amar-Suen , the king , destroyed Urbilum ; ”","year : “ Amar-Suen the king , year : “ Amar-Suen was destroyed ; ”"
123,NUMB sila inun gur,"NUMB sila3 butter oil ,","NUMB sila3 butter oil ,"
124,NUMB sila gaUD@g gur,"NUMB sila3 kašk cheese ,",NUMB sila3 salt
125,ki luzabalata,from Lu-Zabala ;,"from Ur-Ḫalmuša ,"
126,NUMB inun,"NUMB butter oil ,","… butter oil ,"
127,NUMB gaUD@g,"NUMB kašk cheese ,","NUMB PAda ,"
128,ki urmamita,from Ur-Mami ;,"from Ur-Ḫalmuša ,"
129,ki urnigarta,from Ur-nigar ;,"from Gududu ,"
130,ki dugeta,from Duge ;,"from Ur-Ḫalmuša ,"
131,ki caramuta,from Šara-amu ;,"from Ur-Ḫalmuša ,"
132,ki lugalcunireta,"from Lugal-šunire ,","from Ur-Ḫalmuša ,"
133,ki ceckalata,from Šeškala ;,"from Šeškalla ,"
134,ki ursudata,from Ur-Suda ;,"from Ur-Ḫalmuša ,"
135,ki guzanata,from Guzana ;,"from Ur-Ḫalmuša ,"
136,ki buduta,from Budu ;,"from Ur-Ḫalmuša ,"
137,ki albaniduta,from Albanidu ;,"from Ur-Ḫalmuša ,"
138,ki UCta,from UŠ ;,"from Ur-Ḫalmuša ,"
139,ki akicarta,from Akišar ;,"from Ur-Ḫalmuša ,"
140,cuGIRbi NUMB sila,its šuGIR : NUMB sila3 ;,"NUMB , NUMB sila3 ,"
141,NUMB sila i magura,NUMB sila3 ( butter ) oil for “ Barge ; ”,"NUMB sila3 good oil ,"
142,cunigin NUMB sila NUMB gin inun gur,"total : NUMB sila3 NUMB shekels butter oil ,","total : NUMB sila3 , NUMB shekels ,"
143,cunigin NUMB sila NUMB gin gaUD@g gur,"total : NUMB sila3 NUMB shekels kašk cheese ,",total : NUMB sila3 NUMB shekels each ;
144,NUMB sila ga gazi,"NUMB sila3 sumac-cheese ,","NUMB sila3 big-cheese ,"
145,giri urcakkan,via Ur-Šakkan ;,"via Lu-Ḫurim ,"
146,NUMB sila gacea gur,"NUMB sila3 yellowed milk ,",NUMB sila3 salt
147,giri kas,via Kas ;,"via Kas ,"
148,ziga bala,booked out of the bala ( obligation ),booked out of the bala ;
149,mu amarsuen lugale urbilum muhul,"of the year : “ Amar-Suen , the king , destroyed Urbilum ; ”","year : “ Amar-Suen , the king , Urbilum destoyed . ”"
150,NUMB sila ga gazi,"NUMB ban NUMB sila3 sumac-cheese ,","NUMB sila3 big-cheese ,"
151,NUMB sila gaUD@g,"NUMB ban3 NUMB sila3 kašk cheese ,","NUMB lamb of Ṣelli-Šulgi ,"
152,ziga bala mu ku guza enlila badim,booked out of the bala ( obligation ) of the year : “ the silvery chair of Enlil was fashioned ; ”,the royal ankara-weapon
153,NUMB mana NUMB gin kubabbar,NUMB mana NUMB shekel silver,"NUMB mana NUMB shekels silver ,"
154,ara NUMB,"the first time ,",the ordNUMB time ;
155,NUMB mana NUMB gin ku,NUMB mana NUMB shekels silver,"NUMB mana NUMB shekels silver ,"
156,ara NUMB,"the second time ,",the ordNUMB time ;
157,giri lukala,"via Lukala ,","via Lukalla ,"
158,giri urcara caduba,"via Ur-Šara the chief accountant ,","via Ur-Šara , the archivist ;"
159,NUMB gin NUMB ce ku,NUMB shekels NUMB grains silver,"NUMB shekels … grains of silver ,"
160,giri luzabala,"via Lu-Zabala ,",via the might ;
161,sag nabi NUMB gin NUMB ce ku,"its “ ( scales ) stone overhead ” : NUMB shekel NUMB grains silver ,",all the persons : NUMB
162,inunbi NUMB sila NUMB gin gur,its butter oil : NUMB sila3 NUMB shekels ;,"NUMB sila3 , NUMB shekels ,"
163,sadu ara NUMB,"first sadu-allotment ,",regular offerings for the ordNUMB time ;
164,sadu ara NUMB,"second sadu-allotment ,",regular offerings for the ordNUMB time ;
165,NUMB gacea gibilce,"NUMB yellowed milk … ,","NUMB šerrum gypsum ,"
166,kacdea lugal ummace gena,"beer festival when the king went to Umma ,","Beer ceremonty to Nippur , in bala ,"
167,kicibi NUMB,"their sealed documents : NUMB ,","the sealed tablets are NUMB ,"
168,ugu lukala gagadam,to be entered to the debit account of Lukala ;,into the deficit of Lukalla placed ;
169,kicib lukala,"under seal of Lukala ,",under seal of Lukalla ;
170,ugu ure gagadam,to be entered to the debit account of Ur-e'e ;,on the deficit ledger of Ur-e’e set ;
171,NUMB sila NUMB gin inun gur,"NUMB sila3 NUMB shekels butter oil ,","NUMB sila3 NUMB shekels ,"
172,NUMB gacea gur,"NUMB yellowed milk ,","NUMB , Ur-Numušda ,"
173,kicib urculpae,under seal of Ur-Šulpa'e ;,under seal of Ur-Šulpa’e ;
174,cunigin NUMB sila NUMB gin ga gazi gur,"total : NUMB sila3 NUMB shekels sumac-cheese ,","together : NUMB sila NUMB shekels of oil ,"
175,gaUD@gbi NUMB sila NUMB gin,"its kašk cheese : NUMB sila3 NUMB shekels ,","the lamb : NUMB sila3 NUMB shekels ,"
176,cunigin NUMB gaUD@g gur,"total : NUMB sila3 kašk cheese ,","total : NUMB stallion ,"
177,cunigin NUMB sila gacea gur,"total NUMB sila3 yellowed milk ,","total : NUMB sila3 , Šeš-dada ,"
178,inunbi NUMB sila NUMB gin,"its butter oil : NUMB sila3 NUMB shekels ,","the lamb : NUMB sila3 NUMB shekels ,"
179,gaUD@gbi NUMB sila NUMB gin,its kašk cheese : NUMB sila3 NUMB shekels ;,"the lamb : NUMB sila3 NUMB shekels ,"
180,laia NUMB sila NUMB gin inun gur,"the deficit : NUMB sila3 NUMB shekels butter oil ,","the deficit : NUMB sila3 NUMB shekels ,"
181,nigkak inun gar,account of butter oil and kašk cheese of,"in place of Amar-Suenītum canal ,"
182,atu cuc,"Atu , the chief cattle manager ;","Atu , cattle manager ,"
183,mu ku guza enlila badim,year : “ The silver-chair of Enlil was fashioned . ”,year : “ silver-chair of Enlil was fashioned . ”
184,nin ku nuna,"Ninkununa ,",Ninkununa
185,lusaizu,"Lu-sa-izu ,",of Lu-sa-izu
186,icib ana,"the incantation-priest of An ,","the priest of An ,"
187,gudu cu dadag,the priest with pure hands,gudu daughter received ;
188,u dingir galgalene,"and all the great gods ,","the god of the gods ,"
189,kiag,as NUMB beloved,beloved
190,sipa kalamace,"the shepherd of the country ,","as the shepherd of his country ,"
191,u bad martu,when the Mardu wall,and in the it was decreed ;
192,muriq,( named ) That Which Keeps Distant,"say ,"
193,tidnim,"the Tidnum ,","say ,"
194,mudua,"he had built ,",he built
195,u ne martu,and the forces of the Mardu,"and Puzrum-Ninkarke , repayments ,"
196,madane,to his own land,"say ,"
197,bingia,"he had sent back ,","say ,"
198,e cage pada,"the Temple Chosen by the Heart ,",the house of Ir-Nanna .
199,NUMB acgar niga saga us,"NUMB female kid , grain-fed , fine , second ( quality ) ,","NUMB female kid , barley-fed , of ordNUMB grade ,"
200,NUMB ud,"NUMB nanny ,","NUMB goat doe goat ,"
201,ki cumamata,from Šu-Mama,"from Ur-Ḫalmuša ,"
202,NUMB ninda gid NUMB kuc dagal ihi NUMB kuc sukud,"( Pise wall : ) NUMB ninda the length , NUMB cubits the average width , NUMB cubits the depth ;",NUMB ninda long cubits of … : NUMB sar per wall ;
203,NUMB nindana NUMB sarta,"per ( running ) ninda NUMB ( volume ) sar ,","NUMB figs , NUMB sar ,"
204,kinbi NUMB sar,work involved : NUMB ( volume ) sar ;,"NUMB : Nin-hegal ,"
205,guruc NUMB gin NUMB ceta,per worker ( day ) : NUMB ( volume ) shekels ;,"NUMB male laborers , NUMB shekels each ,"
206,guruc NUMB ani NUMB silata,disbursement per workerday : NUMB sila3 ( barley ) ;,NUMB Workmen ; NUMB sila3 ;
207,cebi NUMB sila gur,the barley : NUMB sila3 ;,the barley : NUMB sila ;
208,lu hungame,they are hired men ;,"the man who turned her ,"
209,NUMB ninda gid NUMB kuc dagal NUMB kuc sukud,"( Pise wall : ) NUMB ninda the length , NUMB cubits the width , NUMB cubits the depth ;","NUMB ninda long …-hides , NUMB cubits per width ;"
210,kinbi NUMB sar NUMB gin,work involved : NUMB ( volume ) sar NUMB ( volume ) shekels ;,"NUMB sar NUMB shekels of soil ,"
211,gantucme,they are gantuš ;,"say ,"
212,im dua gida,"pisé wall construction , drawn long ,",tablets of the stall
213,kiri babainimsisa,in the orchard of Baba-inim-sisa ;,orchard of auda .
214,ca garcumka,of Garšum ;,"in Tummal ,"
215,giri urbaba dumu cabrae,"responsible : Ur-Baba , son of the household manager ,","via Ur-Baba , son of Gu-dun ;"
216,lugalmusuda,"Lugal-musuda ,","say ,"
217,u lugalbaba dumu urlamma,and Lugal-baba son of Ur-Lamma ;,"and Geme-Enlil , son of Ur-Lamma ,"
218,mu ibisuen lugal,the year : “ Ibbi-Suen is king . ”,year : “ Ibbi-Suen is king . ”
219,NUMB udu niga inanna unu,"NUMB barley-fed sheep ( for ) Inanna of Uruk ,","NUMB sheep , barley-fed , for Inanna of Uruk ,"
220,giri lugalimah sagi,"via Lugalimah , cupbearer ;","via Bilila , the fattener ;"
221,NUMB udu ce NUMB sila ga,"NUMB barley-fed sheep , a milk-fed lamb","NUMB sheep , NUMB lambs , NUMB lambs ,"
222,ictaran,"( for ) Ištaran ,","say ,"
223,nuhidingirum mackim,"from Nuhi-ilum , the deputy ;","Rizi-ilum , responsible official ;"
224,NUMB sila ga nanna,"NUMB milk-fed lamb ( for ) Nanna ,","NUMB suckling male lambs ,"
225,eranada mackim,"from Erranada , the deputy ;","Rizi-ilum , responsible official ;"
226,siskur ca egal,an offering in the palace ;,"siskur-offering in the house ,"
227,NUMB macgal niga ilidagan,"NUMB barley-fed large-goat , from Ili-Dagan ,","NUMB buck , barley-fed , from the frontier ;"
228,lu ebla,man of Ebla ;,the man who
229,NUMB macgal niga,"NUMB barley-fed large-goat ,","NUMB full-grown billy , grain-fed ;"
230,budur lu urcu,"from … , man of Uršu",a person who
231,NUMB macgal niga nagizu lu kingia ca X,"NUMB large barley-fed goat , Nagizu , messenger from Ar-…","NUMB bucks , barley-fed , for Guraya , man of Tirgu ,"
232,giri lugalinimgina,via Lugalinimgina ( and ),via Lugal-inim-gina ;
233,ARADmu ugula kas,"ARAD-mu , overseer of the messengers ;","foreman : Nin-hegal ,"
234,iti u NUMB bazal,"ff the month , NUMB days have passed ,","of the month , the ordNUMB day passed ;"
235,ki ahunita bazi,"booked out of ( the account of ) Ahuni ,","from ( the account of ) Aḫuni booked out ,"
236,iti sesdagu,"month : “ Eating piglets , ”","month : “ Piglet feast , ”"
237,mu amarsuen lugal,year : “ Amar-Suen became king . ”,year : “ Amar-Suen is king . ”
238,lugal kiengi ki uri,king of Sumer and Akkad .,"in the king of Ur and the Ekur ,"
239,bizu,for Bizu ;,"say ,"
240,dingirsukkal,for Dingir-sukkal ;,"for Dingir-sukkal ,"
241,nurickur,for Nūr-Adda ;,"to Abī-abiḫ ,"
242,nigbaba,for Nig-Baba ;,"To Ninšubur ,"
243,mu cusuen lugal urimake ma darabzu enkika bindu,"year : “ The Shu-Suen , king of Ur , the boat ( named ) ‘Ibex-of-Abzu’ caulked . ”","year : “ Šu-Suen , king of Ur , Great-barge of Enlil erected . ”"
244,ninmar,"To Ninmar ,",For Ninmar
245,nin munusgilsa,"the queen of the Munus-gilsa temple ,","the queen of the boundary marker ,"
246,enmeziana,"( whose second name is ) En-mezi-ana ,","( whose second name is ) Enmeziana ,"
247,en kiag nanceka,"( and also ) the beloved high priest of Nanše ,","beloved en-priest of the Daga ( ? ) ,"
248,NUMB mac,"NUMB billy ,","NUMB male goat ,"
249,intaea,did Intae’a,Intaea
250,im namcatam,"tablets official ,","wet tablets ,"
251,ugula NUMB,foremen of the NUMB ( -man ( labor- ) troops ) of,"the foreman : NUMB ,"
252,daumma,"Da’umma ,","in Da-Umma ,"
253,apisal,"Apisal ,","in Apisal ,"
254,u mucbian,and Mušbiana,and Puzrum-Ninkarke
255,mu urbilum u mu kimac,year : “ Urbilum and Kimaš were destroyed . ”,year : “ Urbilum and Kimaš were destroyed . ”
256,endimgig,"of Endimgig ,","say ,"
257,gilgamese,May Gilgameš,"say ,"
258,kicib didli X,"sealed documents , varied , … ,","various sealed documents , … ,"
259,e luginata dea,"from the house ( ? ) of Lugina delivered ,","the house of cut ,"
260,dumu urgigir,son of Ur-gigir,son of Ur-Gigir .
261,ki lu muhaldimta,"from Lu'u , the cook ,","the man of Anza ,"
262,lukala,Lukalla,for Lukalla ;
263,iti amarasi,"month : “ amar-ayasi , ”",month : “ Amar-ayasi . ”
264,mu enmahgal nanna bahun,year “ Enmaḫgal of Nanna was installed . ”,year : “ The priestess of Nanna was installed . ”
265,laia NUMB ce gur,"the deficit : NUMB ,","the deficit : NUMB , NUMB barley ,"
266,aca dalbana,field Dalbana ;,at the field Booted-oxen ;
267,diri NUMB gur,the surplus : NUMB,surplus : NUMB
268,aca igi eamar,field before E-amar ;,covers the field Nin-nigerime ;
269,laia NUMB gur,the deficit : NUMB,"the deficit : NUMB , NUMB ;"
270,aca edurubazi,field Village-bazi ;,field Akišaḫ ;
271,NUMB GAN,NUMB ( esze3 ) NUMB ( iku ) GAN2,NUMB field area :
272,aca abila,field Ab-illa ;,field Akišaḫ ;
273,cunigin NUMB GAN,"total : NUMB field surface ,",total : NUMB surface ;
274,ugula cuea,"foreman : Šu-Ea ,",foreman : Šu-Ea ;
275,NUMB ku gabIL,NUMB gabIL fish baskets ;,"NUMB fish of copper ,"
276,NUMB guruc u NUMB ma mucen,"NUMB workdays , male laborers , barge of the birds ;","NUMB workdays , boat unloaded ."
277,NUMB guruc u NUMB ziga didli,"NUMB workdays , male laborers , various “ booked-outs ” ;","NUMB workdays , male laborers , various sheep ,"
278,mu NUMB,ordNUMB year ;,"( a period of ) NUMB year ,"
279,NUMB ku nun saga,"NUMB nun-fish , good quality ;","NUMB sheep , cutting , good quality ,"
280,ku diri nudab,surplus fish not taken ;,"silver , silver of the captives ;"
281,albanidu,Albanidu,"Albanidu ,"
282,iti ezemculgi,"from month : “ Festival of Šulgi , ”",month “ Festival-of-Šulgi ; ”
283,iti ezembaba,"to month : Festival of Baba , ”","month : “ Festival of Baba , ”"
284,mu karhar ara NUMB bahulce,year : “ Karḫar for the ordNUMB time was destroyed . ”,"year : “ Karhar for the ordNUMB time was destroyed , ”"
285,NUMB gu cugid,"NUMB oxen , šugid-type ,","NUMB talents ,"
286,enlila,Enlila,of Enlil .
287,mu en eridu bahun,year : “ The high priest of Eridu was installed . ”,year : “ The high-priestess of Eridu was hired . ”
288,nance,To Nanše,"For Nanše ,"
289,nincagepada,For Ninšagepada,"say ,"
290,abi u NUMB,"the labor : NUMB days ,",labor involved : NUMB days ;
291,ada guba,"at the water ( works ) stationed ,","stationed , stationed ,"
292,aca amarkici,"the field “ Amar-kiši , ”",field Akišaḫ ;
293,aca muru,"the field “ Center , ”",at the field Muru ;
294,aca i lugalka,"the field “ Royal waterway , ”","the field of Ur-Namma ,"
295,adea,"water poured ,","Kubātum ,"
296,ka i eka kura,"intake of the out-waterway cut off ,","… , mace , at his feet ,"
297,ka i eta,from the intake of the out-waterway,"… the legal canal ,"
298,aca amarkici X cura,to field “ Amar-kiši ” … leveled ;,"the surface of the … field ,"
299,ugula X X,"foreman : … ,","foreman : Lugal-… ,"
300,kicib egalesi,"under seal of Egalesi ,",sealed by Egalesi ;
301,mu usa cusuen lugale bad martu mudu,"year following : “ Šu-Suen , the king , Martu wall erected . ”","year after : “ Šu-Suen , the king , the Amorite wall erected . ”"
302,dumu lubaba,son of Lu-Baba .,son of Lu-Baba ;
303,X,of …-abba,"Ur-Gal-… ,"
304,eneru,enuru :,"say ,"
305,muce kurmucta KA namgi,The snake from snake mountain indeed called .,"Urkeš , Mukiš … ;"
306,meTAR an kika,The lizard of heaven and of earth,"x-agazi , Abarnum ,"
307,eme baniak,licked .,"of those powerful ,"
308,dumu meTAR an ki NUMB,"The sons of the lizard , heaven and earth , are NUMB .",", ‘born with NUMB ,"
309,pu lilam idu,The well like wind it made .,"Nig-ul-pa’e , doorman ,"
310,a lilam inde,Water like wind he poured out .,labor of the wintertime of the bala’s
311,gug lilam zabi ibdab,Grass like wind its right encircled .,"The The population , … ,"
312,gugbi gabuni,"Its grass , his left","x-agazi ,"
313,mubze,it tore out .,"say ,"
314,X cu umagi,Then his … held firm .,"… , … ,"
315,X X zu helae,… the ( snake’s ) fang may he bind .,"… , Mukiš , Duduli ."
316,tutu abzu eriduga asarluhi dumu eriduke,"The incantations ( ? ) of the Abzu of Eridu of Asalluhi , son of Eridu :",to accomplish the maternal Canal to Umma . .
317,namudabure,may they not be undone .,"say ,"
318,nisaba,"Nisaba ,","To Nisaba ,"
319,munuszi,"the righteous woman ,","say ,"
320,munus saga,the beautiful woman .,"the beautiful woman ,"
321,adakala,"Addakala ,",Agi
